APT;INSUMO;DATA_APT;COD_BEM;DESC_BEM;HOR_INI;HOR_FIN;QTD; VALOR ;TOTAL
APA2880;OLEO DIESEL S500;03/09/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;156;R$ 4,62;720,72
APA2884;OLEO DIESEL S500;08/09/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;388,4;R$ 4,62;1.794,41
APA2996;OLEO DIESEL S500;16/09/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;784;R$ 4,77;3.739,68
APA3075;OLEO DIESEL S500;25/09/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;550;R$ 4,77;2.623,50
APA3234;OLEO DIESEL S500;06/10/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;395;R$ 4,77;1.884,15
APA3342;OLEO DIESEL S500;13/10/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;378;R$ 5,60;2.116,41
APA3516;OLEO DIESEL S500;30/10/2021;1;CARREGADEIRAS DE TERCEIROS;0;0;261;R$ 5,38;1.404,18
APA2444;OLEO DIESEL S500;20/07/2021;2;COLHEDORAS DE GRAOS DE TERCEIROS;0;0;2.371,00;R$ 4,47;10.598,37
APA2509;OLEO DIESEL S500;26/07/2021;2;COLHEDORAS DE GRAOS DE TERCEIROS;0;0;2.563,00;R$ 4,47;11.456,61
APA2255;OLEO DIESEL S500;02/07/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;165;R$ 4,42;729,3
APA2407;OLEO DIESEL S500;12/07/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;594;R$ 4,47;2.655,18
APA2417;OLEO DIESEL S500;15/07/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;250;R$ 4,47;1.117,50
APA2445;OLEO DIESEL S500;19/07/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;1.272,00;R$ 4,47;5.685,84
APA2498;OLEO DIESEL S500;26/07/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;1.726,00;R$ 4,47;7.715,22
APA2776;OLEO DIESEL S500;19/08/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;172;R$ 4,62;794,64
APA2719;OLEO DIESEL S500;19/08/2021;9;VEICULOS DE CARGA DE TERCEIROS;4.114,00;4.114,00;1.035,00;R$ 4,62;4.781,70
APA2979;OLEO DIESEL S500;16/09/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;1.103,00;R$ 4,77;5.261,31
APA3077;OLEO DIESEL S500;22/09/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;133;R$ 4,77;634,41
APA3074;OLEO DIESEL S500;25/09/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;1.305,00;R$ 4,77;6.224,85
APA3239;OLEO DIESEL S500;02/10/2021;9;VEICULOS DE CARGA DE TERCEIROS;0;0;498;R$ 5,60;2.788,28
